device_type,attribute,action,value_range,default_value,unit,category_name_zh,category_name_en
Any,on_off,"on,count,off,query","on,off; [1#on,0#off] where applicable",,,Any device,Any device
Any,online_offline,"count,query","online,offline",,,Any device,Any device
Any,count,query,"online,offline",,,Any device,Any device
Light,brightness,"up,query,down,set","[1-100]; empty,max,min per API",10,%,Light,Light
Light,color_temperature,"up,query,down,set","[6500-2700]; warm,cool,empty",500,K,Light,Light
Light,color,"query,set","red,green,yellow,orange,cyan,magenta,purple,pink,light,pale,brown,gray,...",,,Light,Light
AirConditioner,ac_mode,"query,set","empty,heat,dry,cool,auto,fan",,,Air conditioner,Air conditioner
AirConditioner,temperature,"up,query,down,set","[18-30]; empty,max,min",1,℃,Air conditioner,Air conditioner
AirConditioner,wind_speed,"up,down",,,,Air conditioner,Air conditioner
AirConditioner,wind_speed,"up,query,down,set","empty,low_speed,min,max,medium_speed,high_speed",,,Air conditioner,Air conditioner
AirConditioner,wind_direction,"query,set","on,off,left_right,up_down",,,Air conditioner,Air conditioner
WindowCovering,percentage,"up,query,down,set","[0-100]; 100=fully open,0=fully closed",10,%,Curtain,Curtain
WindowCovering,motion,set,"stop#pause,continue#resume",,,Curtain,Curtain
ClotheDryingMachine,percentage,"up,query,down,set","[0-100]; 100=fully open,0=fully closed",10,%,Drying rack,Drying rack
ClotheDryingMachine,motion,set,"stop#pause,continue#resume",,,Drying rack,Drying rack
SweepingRobot,sweep,set,"stop#pause cleaning,on#start cleaning,continue#resume cleaning,off#stop cleaning",,,Robot vacuum,Robot vacuum
Speaker,play_control,set,"play#start playback,stop#pause playback,continue#resume playback,previous#previous track,next#next track",,,Speaker,Speaker
Speaker,play_mode,set,"shuffle#shuffle,order#repeat all,single_cycle#repeat one",,,Speaker,Speaker
Speaker,volume,"up,down,set,on,off","[1-100]; empty,max,min",10,%,Speaker,Speaker
VideoDoorbell,volume,"up,down,set,on,off","[1-100]; empty,max,min",10,%,Doorbell,Doorbell
Speaker,mute,"on,off","1#mute,0#unmute",,,Speaker,Speaker
PetFeeder,feed,set,"feeding#start feeding",,,Pet feeder,Pet feeder
